Name,Description,Source Link,portalSourceName
Clickable top parent in Navigation,"Allow the top navigation item to be clickable  not just a trigger to open the dropdown.
",https://portal.productboard.com/pxuthemes/1-pixel-union-themes/c/6-clickable-top-parent-in-navigation,pxuthemes
Add option to show product info all the time,"This option would allow shoppers to see the product name  price and savings without having to hover over the product on the collection page.
",https://portal.productboard.com/pxuthemes/1-pixel-union-themes/c/48-add-option-to-show-product-info-all-the-time,pxuthemes
Add option for Previous/Next bottom on product pages to navigate,"This option when enabled by the merchant would let shoppers browse all products in a collection without having to return to the collection page.
",https://portal.productboard.com/pxuthemes/1-pixel-union-themes/c/88-add-option-for-previous-next-bottom-on-product-pages-to-navigate,pxuthemes
Inventory display,"Allow shoppers to see inventory numbers
",https://portal.productboard.com/pxuthemes/1-pixel-union-themes/c/75-inventory-display,pxuthemes
Add option to make cart icon link to cart page,"Adding this as an option would allow merchants to choose if shoppers see the mini-cart when they click the cart icon or be taken directly to the cart page.
",https://portal.productboard.com/pxuthemes/1-pixel-union-themes/c/12-add-option-to-make-cart-icon-link-to-cart-page,pxuthemes
Add layout options for header/navigation,"Add options to allow the logo and/or the menu to be displayed in different locations on the header.
",https://portal.productboard.com/pxuthemes/1-pixel-union-themes/c/77-add-layout-options-for-header-navigation,pxuthemes
"Add option to make product details ""sticky""","This would allow merchants to choose if the products details stick in the shoppers view when scrolling through the product images.
",https://portal.productboard.com/pxuthemes/1-pixel-union-themes/c/35-add-option-to-make-product-details-sticky,pxuthemes
Ability to select out of stock variants,"When viewing products with out of stock variants currently  the variants that are sold out cannot be selected. This would add an option to the theme editor so merchants could choose if sold out variants are able to be selected for use with back in stock notification apps.
",https://portal.productboard.com/pxuthemes/1-pixel-union-themes/c/9-ability-to-select-out-of-stock-variants,pxuthemes
Add hot-spots to featured Poduct hot- section,"Ability to place a dot on the image of the featured product and add information about the product for specific components.
",https://portal.productboard.com/pxuthemes/1-pixel-union-themes/c/86-add-hot-spots-to-featured-poduct-hot-section,pxuthemes
Add display options for out of stock products in live search,"Some merchants want to show out of stock options  some do not. Adding an option for the visibility of out of stock options means people could show what they want.
",https://portal.productboard.com/pxuthemes/1-pixel-union-themes/c/16-add-display-options-for-out-of-stock-products-in-live-search,pxuthemes
Add option for infinite scrolling on collection pages,"Allow collections that are multiple pages long to be scrolled through without having to click a link to go to the next page.
",https://portal.productboard.com/pxuthemes/1-pixel-union-themes/c/3-add-option-for-infinite-scrolling-on-collection-pages,pxuthemes
Add option for content layout,"This would add additional options fro how product content is laid out on the product pages.
",https://portal.productboard.com/pxuthemes/1-pixel-union-themes/c/36-add-option-for-content-layout,pxuthemes
Product inventory display,"Add the option to display stock on product pages  including low stock information.
",https://portal.productboard.com/pxuthemes/1-pixel-union-themes/c/194-product-inventory-display,pxuthemes
Make lightbox a slideshow,"Change how when products are viewed in the zoom lightbox from only being able to view one at a time  to viewing all available images be visible as a slideshow.
",https://portal.productboard.com/pxuthemes/1-pixel-union-themes/c/8-make-lightbox-a-slideshow,pxuthemes
Add link style options in the alternating content blocks,"This means merchants could make the links look like buttons instead of just links if they wanted.
",https://portal.productboard.com/pxuthemes/1-pixel-union-themes/c/73-add-link-style-options-in-the-alternating-content-blocks,pxuthemes
Add option to display product images per variant,"This would allow merchants to show each variants images when the variant is selected rather then showing all the images for the product at once.
",https://portal.productboard.com/pxuthemes/1-pixel-union-themes/c/76-add-option-to-display-product-images-per-variant,pxuthemes
Add option to hide vendor,"This would allow merchants to hide the vendor on the collection page.
",https://portal.productboard.com/pxuthemes/1-pixel-union-themes/c/58-add-option-to-hide-vendor,pxuthemes
Add URL to featured collection section,"To allow shoppers to more easily view the entire featured collection  allow a URL to be added to the section heading.
",https://portal.productboard.com/pxuthemes/1-pixel-union-themes/c/5-add-url-to-featured-collection-section,pxuthemes
Add collection filters,"Collection filters allow shoppers to narrow what they are looking for in a collection by predefined parameters that make sense for the shop. Adding them to the collection pages of Atlantic could improve the usability of the shops using it. 
",https://portal.productboard.com/pxuthemes/1-pixel-union-themes/c/11-add-collection-filters,pxuthemes
Add option to allow out of stock variants to be selected,"This option would allow shoppers to select out of stock options. This could allow them to interact with back in stock notifications if the merchant has one set up.
",https://portal.productboard.com/pxuthemes/1-pixel-union-themes/c/52-add-option-to-allow-out-of-stock-variants-to-be-selected,pxuthemes
Add option to hide calculate shipping button,"This option would allow merchants to hide the calculate shipping button on the cart page  because sometimes it's just not needed. 
",https://portal.productboard.com/pxuthemes/1-pixel-union-themes/c/43-add-option-to-hide-calculate-shipping-button,pxuthemes
